ID,機構名稱,地址,聯絡電話,類別
CH001,財團法人中國基督教靈糧世界佈道會桃園市府靈糧堂,桃園市桃園區縣府路332-4號5樓,336-5919,教會
CH002,財團法人桃園市基督教新歌教會,桃園市桃園區國華街2號,335-7581,教會
CH003,財團法人天主教麒田教會,桃園市桃園區中山路956巷91弄5號,370-3517,教會
CH004,財團法人臺灣省桃園縣中國基督教靈糧世界佈道會桃園靈糧堂,桃園市桃園區中正路1067號5樓,356-9317,教會
CH005,財團法人新約教會桃園教會,桃園市桃園區大業路二段58號7樓,325-2603,教會
CH006,財團法人桃園基督的教會,桃園市桃園區三民路三段286號5樓,281-0735,教會
CH007,財團法人臺灣省桃園縣福音信義會,桃園市桃園區大豐路222號,364-5900,教會
CH008,財團法人臺灣基督長老教會桃園教會,桃園市桃園區民生路208號6樓,332-4063,教會
CH009,財團法人沙爾德聖保祿修女會,桃園市桃園區建新街123號,361-3141,教會
CH010,財團法人臺灣省桃園縣中華福音道路德會仁愛堂區會,桃園市桃園區縣府路110號13樓,362-5539,教會
CH011,財團法人桃園縣臺灣基督長老教會迦南教會,桃園市桃園區中華路49號,333-9075,教會
CH012,財團法人臺灣省桃園縣桃園市中華基督教浸信會溢恩堂,桃園市桃園市桃園區東國街55號,335-3106,教會
FD001,財團法人桃園縣怡仁愛心基金會,桃園市桃園區三民路3段106號15樓,336-9066,基金會
FD002,財團法人桃園縣私立護國宮愛心基金會,桃園市桃園區國際路1段401巷123號,362-1111,基金會
FD003,財團法人桃園縣私立簡欣哲社會福利基金會,桃園市桃園區復興路180號6樓,336-6512,基金會
FD004,財團法人桃園縣私立景福宮慈善基金會,桃園市桃園區中正路208號,332-4672,基金會
FD005,財團法人桃園縣私立天立社會福利基金會,桃園市桃園區樹仁三街601號,367-7666,基金會
FD006,財團法人桃園縣私立元極康福慈善事業基金會,桃園市桃園區莊敬路一段128號2樓,326-2677,基金會
FD007,財團法人桃園縣忠義社會福利慈善事業基金會,桃園市桃園區大有路80號,333-7748,基金會
FD008,財團法人桃園縣淳?宏善基金會,桃園市桃園區三元街407巷50號,332-8253,基金會
FD009,財團法人桃園縣福島健康慈善基金會,桃園市桃園區泰成路62巷39號2樓,0932-362847,基金會
FD010,財團法人桃園市優勝地社會福利基金會,桃園市桃園區中平路98號3樓之3,2541-8098,基金會
FD011,財團法人腦性麻痺基金會,桃園市桃園區中正路915號6樓之4,0916-577558,基金會
FD012,財團法人桃園市安順社會福利慈善事業基金會 ,桃園市桃園區民有東路1巷3號5樓,2733-7593,基金會
FD013,財團法人桃園市宏願天使希望基金會,桃園市桃園區同安街108號,317-9558,基金會
FD014,財團法人桃園市晉利工程社會福利慈善事業基金會,桃園市桃園區經國路838號10樓之1,326-9266,基金會
FD015,財團法人慈濟桃園分會,桃園市桃園區大業路一段307號,358-6111,基金會
LK001,鎖庫智能家電子鎖體驗館桃園旗艦店,桃園市桃園區春日路455號,347-6369,鎖匠
LK002,關外高手刻印鎖店,桃園市桃園區長春路126號,333-9876,鎖匠
LK003,建成鎖行,桃園市桃園區建國路53號,364-5866,鎖匠
LK004,永吉鎖匙刻印行,桃園市桃園區永安路632號,355-3141,鎖匠
LK005,振聲鎖印行,桃園市桃園區復興路468號,0955-271938,鎖匠
LK006,眾利鎖匙刻印,桃園市桃園區中山路697號,228-8505,鎖匠
LK007,桃鶯刻印鑰匙店,桃園市桃園區桃鶯路202之3號,367-3742,鎖匠
LK008,正安鎖店,桃園市桃園區中山路17號,0935-567985,鎖匠
LK009,金宏刻印鎖店,桃園市桃園區民安路91號,331-3566,鎖匠
LK010,大郡鎖匙刻印,桃園市桃園區莊敬路一段198號,356-9569,鎖匠
LK011,大慶鎖匙刻印店,桃園市桃園區中山路37號,333-8866,鎖匠
LK012,寶慶鎖匙刻印,桃園市桃園區寶慶路398號,301-7133,鎖匠
LK013,順新刻印鎖行,桃園市桃園市寶山街65號,325-5355,鎖匠
LK014,永祥刻印鎖匙行,桃園市桃園區力行路232號,333-8818,鎖匠
LK015,品宏刻印鎖行,桃園市桃園區大同路102號,0987-132116,鎖匠
CV001,大林里里長,桃園市桃園區樹仁三街68號,363-9988,里長
CV002,大樹里里長,桃園市桃園區樹仁二街176號,0919-354002,里長
CV003,大豐里里長,桃園市桃園區樹林四街38巷12號,366-5511,里長
CV004,建國里里長,桃園市桃園區林森路68巷1弄6號,361-0068,里長
CV005,雲林里里長,桃園市桃園區延平路103號,363-2233,里長
CV006,福安里里長,桃園市桃園區建華三街60號,363-7103,里長
CV007,福林里里長,桃園市桃園區陽明一街103號,371-0601,里長
CV008,豐林里里長,桃園市桃園區建國路211號,0928-555535,里長
CV009,中和里里長,桃園市桃園區博愛路8號,334-6254,里長
CV010,中興里里長,桃園市桃園區忠五路73號,0900-253392,里長
CV011,文化里里長,桃園市桃園區民權路25巷28號,338-2308,里長
CV012,文昌里里長,桃園市桃園區民族路110號3樓,0933-172881,里長
CV013,文明里里長,桃園市桃園區中華路107號7樓之5,332-3334,里長
CV014,北門里里長,桃園市桃園區新生路23號,332-8657,里長
CV015,民生里里長,桃園市桃園區廣文街24號,0909-608023,里長
CV016,永興里里長,桃園市桃園區民權路200號2樓,334-8038,里長
CV017,光興里里長,桃園市桃園區縣府路294巷3之2號3樓,337-6782,里長
CV018,西門里里長,桃園市桃園區金華街18號,0938-056768,里長
CV019,西湖里里長,桃園市桃園區中山路260號2樓,339-8100,里長
CV020,武陵里里長,桃園市桃園區武昌街7號,334-7310,里長
CV021,長美里里長,桃園市桃園區中山路138號,0981-899705,里長
CV022,南門里里長,桃園市桃園區南山街122號,218-8382,里長
CV023,南華里里長,桃園市桃園區文化街32號,337-2609,里長
CV024,中山里里長,桃園市桃園區中平路102號9樓之2,0919-802050,里長
CV025,中平里里長,桃園市桃園區壽昌街20巷25號,220-0639,里長
CV026,中正里里長,桃園市桃園區縣府路256巷5弄6號,0918-337608,里長
CV027,中成里里長,桃園市桃園區吉安街101巷8弄7號,301-9026,里長
CV028,中信里里長,桃園市桃園區逸林街102號,0953-513617,里長
CV029,中原里里長,桃園市桃園區宏昌七街74號,228-8666,里長
CV030,中泰里里長,桃園市桃園區國聖一街192號,0922-540288,里長
CV031,中聖里里長,桃園市桃園區宏昌六街316號,0953-871805,里長
CV032,中路里里長,桃園市桃園區延壽街33號,360-1321,里長
CV033,中德里里長,桃園市桃園區國際路一段494巷2之1號,376-5858,里長
CV034,文中里里長,桃園市桃園區益壽二街20號,0912-242248,里長
CV035,玉山里里長,桃園市桃園區玉山街233巷36弄3號,0939-914922,里長
CV036,泰山里里長,桃園市桃園區玉山街58號,335-5862,里長
CV037,龍山里里長,桃園市桃園區龍壽街145巷31號,369-1871,里長
CV038,龍安里里長,桃園市桃園區國強一街462號,369-1798,里長
CV039,龍岡里里長,桃園市桃園區江南九街58號,344-1985,里長
CV040,龍祥里里長,桃園市桃園區中山路1308巷289號,370-1866,里長
CV041,龍壽里里長,桃園市桃園區龍城二街52巷2號,0909-608023,里長
CV042,龍鳳里里長,桃園市桃園區國豐二街31號,217-3012,里長
CV043,中埔里里長,桃園市桃園區富國路216巷79號,341-4592,里長
CV044,中寧里里長,桃園市桃園區大興西路二段69巷5號,325-6311,里長
CV045,北埔里里長,桃園市桃園區莊敬路二段160號,301-5889,里長
CV046,永安里里長,桃園市桃園區福壽街29號,337-5713,里長
CV047,同安里里長,桃園市桃園區慈文路200巷8號,325-6272,里長
CV048,同德里里長,桃園市桃園區中埔五街4巷9號,325-1492,里長
CV049,自強里里長,桃園市桃園區天祥七街89號,358-0607,里長
CV050,西埔里里長,桃園市桃園區富國路822巷199弄24號,301-9173,里長
CV051,明德里里長,桃園市桃園區中埔六街194巷22號,325-8968,里長
CV052,東埔里里長,桃園市桃園區信光路55號,335-1772,里長
CV053,長安里里長,桃園市桃園區長春路174號,332-3799,里長
CV054,長德里里長,桃園市桃園區愛七街15號,358-6115,里長
CV055,信光里里長,桃園市桃園區慈文路65號,0939-063287,里長
CV056,南埔里里長,桃園市桃園區永安路650巷3號,326-6140,里長
CV057,莊敬里里長,桃園市桃園區新埔七街171巷1號,325-6316,里長
CV058,慈文里里長,桃園市桃園區永安路495號,302-4671,里長
CV059,新埔里里長,桃園市桃園區新埔七街9號,316-1107,里長
CV060,瑞慶里里長,桃園市桃園區明德街32號,302-1077,里長
CV061,寶安里里長,桃園市桃園區永安北路399號,302-7498,里長
CV062,寶慶里里長,桃園市桃園區同德七街116號,301-7879,里長
CV063,經國里里長,桃園市桃園區同安街336巷2號,0933-944277,里長
CV064,三元里里長,桃園市桃園區三元街253巷22之7號,338-8263,里長
CV065,三民里里長,桃園市桃園區中山東路128號,333-0301,里長
CV066,大有里里長,桃園市桃園區民有十街218號2樓,0930-929800,里長
CV067,大業里里長,桃園市桃園區民有十一街102號,326-7179,里長
CV068,大興里里長,桃園市桃園區福山街15號,0989-234-867,里長
CV069,成功里里長,桃園市桃園區春日路232之192號,336-3094,里長
CV070,汴洲里里長,桃園市桃園區?庫街19號,325-4919,里長
CV071,忠義里里長,桃園市桃園區三元街75號,339-2159,里長
CV072,東山里里長,桃園市桃園區安樂街75號,332-5161,里長
CV073,東門里里長,桃園市桃園區東國街49號,337-4497,里長
CV074,青溪里里長,桃園市桃園區鎮撫街41號2樓,0906-016094,里長
CV075,春日里里長,桃園市桃園區至善街133號,317-9669,里長
CV076,朝陽里里長,桃園市桃園區朝陽街120號,337-8009,里長
CV077,會稽里里長,桃園市桃園區興二街6號,325-2826,里長
CV078,萬壽里里長,桃園市桃園區萬壽路三段99巷10弄6號,332-9813,里長
CV079,福元里里長,桃園市桃園區民有三街26號,335-6080,里長
CV080,寶山里里長,桃園市桃園區雙?路208號,358-2400,里長
CV081,檜樂里里長,桃園市桃園區大德三街72巷25號,326-0532,里長
CV082,寶民里里長,桃園市桃園區民有五街260號,0912-515976,里長
